--------- beginning of main
07-26 20:18:13.176 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:13.179 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:13.181 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:13.181 19189 19334 I LAT     : ========================================================
07-26 20:18:18.246 19189 19334 I LAT     : ===== LATENCY LOG [T+764s | N=3751] =====
07-26 20:18:18.250 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:18.254 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:18:18.258 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:18.261 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:18.263 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:18.265 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:18.265 19189 19334 I LAT     : ========================================================
07-26 20:18:23.340 19189 19333 I LAT     : ===== LATENCY LOG [T+770s | N=3776] =====
07-26 20:18:23.345 19189 19333 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:23.350 19189 19333 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:18:23.352 19189 19333 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:23.354 19189 19333 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:23.356 19189 19333 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:23.358 19189 19333 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:23.358 19189 19333 I LAT     : ========================================================
07-26 20:18:28.422 19189 19334 I LAT     : ===== LATENCY LOG [T+775s | N=3801] =====
07-26 20:18:28.423 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:28.423 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=28ms
07-26 20:18:28.424 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:28.426 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:28.427 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:28.429 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:28.429 19189 19334 I LAT     : ========================================================
07-26 20:18:33.491 19189 19332 I LAT     : ===== LATENCY LOG [T+780s | N=3826] =====
07-26 20:18:33.496 19189 19332 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:33.500 19189 19332 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:18:33.505 19189 19332 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:33.508 19189 19332 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:33.510 19189 19332 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:33.511 19189 19332 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:33.511 19189 19332 I LAT     : ========================================================
07-26 20:18:38.574 19189 19334 I LAT     : ===== LATENCY LOG [T+785s | N=3851] =====
07-26 20:18:38.578 19189 19334 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:38.582 19189 19334 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:18:38.586 19189 19334 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:38.588 19189 19334 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:38.590 19189 19334 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:38.592 19189 19334 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:38.592 19189 19334 I LAT     : ========================================================
07-26 20:18:43.651 19189 19230 I LAT     : ===== LATENCY LOG [T+790s | N=3876] =====
07-26 20:18:43.656 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:43.660 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:18:43.662 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:43.664 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:43.666 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:43.667 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:43.667 19189 19230 I LAT     : ========================================================
07-26 20:18:48.744 19189 19230 I LAT     : ===== LATENCY LOG [T+795s | N=3901] =====
07-26 20:18:48.747 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:48.750 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:18:48.753 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:48.755 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:48.756 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:48.758 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:48.758 19189 19230 I LAT     : ========================================================
07-26 20:18:53.815 19189 19230 I LAT     : ===== LATENCY LOG [T+800s | N=3926] =====
07-26 20:18:53.819 19189 19230 I LAT     :   Sensor     | avg=15ms  min=15ms  max=15ms
07-26 20:18:53.824 19189 19230 I LAT     :   Serial     | avg=6ms  min=2ms  max=30ms
07-26 20:18:53.829 19189 19230 I LAT     :   Algoritma  | avg=1ms  min=0ms  max=5ms
07-26 20:18:53.831 19189 19230 I LAT     :   TTS        | avg=1ms  min=0ms  max=5ms
07-26 20:18:53.834 19189 19230 I LAT     :   Bluetooth  | avg=0ms  min=0ms  max=0ms
07-26 20:18:53.835 19189 19230 I LAT     :   TOTAL E2E  | avg=25ms  min=18ms  max=49ms
07-26 20:18:53.835 19189 19230 I LAT     : ========================================================
07-26 20:18:58.895 19189 19332 I LAT     : ===== LATENCY LOG [T+805s | N=3951] =====
